top_category,sub_category
Taxi_and_Limousine_Service,Taxi_Service
Technical_and_Trade_Schools,Cosmetology_and_Barber_Schools
Technical_and_Trade_Schools,Flight_Training
Technical_and_Trade_Schools,Other_Technical_and_Trade_Schools
Travel_Arrangement_and_Reservation_Services,Tour_Operators
Travel_Arrangement_and_Reservation_Services,Travel_Agencies
Traveler_Accommodation,Bed-and-Breakfast_Inns
Traveler_Accommodation,Casino_Hotels
Traveler_Accommodation,Hotels_except_Casino_Hotels_and_Motels
Used_Merchandise_Stores,Used_Merchandise_Stores
